fold,acc,auroc,mode,N,layer
0,0.19241192411924118,0.5475247621682494,authorship,32,0
1,0.1937669376693767,0.5444136275578926,authorship,32,0
2,0.18292682926829268,0.5550500433200037,authorship,32,0
3,0.2046070460704607,0.5494677242162803,authorship,32,0
4,0.1994572591587517,0.5467094823054662,authorship,32,0
0,0.3604336043360434,0.7025719639034468,authorship,32,2
1,0.3346883468834688,0.6910245736071843,authorship,32,2
2,0.35636856368563685,0.6983163435043014,authorship,32,2
3,0.33604336043360433,0.6783786243863646,authorship,32,2
4,0.3514246947082768,0.6979175263044326,authorship,32,2
0,0.42140921409214094,0.7529165187422816,authorship,32,4
1,0.4105691056910569,0.7528519973558877,authorship,32,4
2,0.4078590785907859,0.7531067225185529,authorship,32,4
3,0.3699186991869919,0.7212984215844811,authorship,32,4
4,0.4260515603799186,0.7589871419726204,authorship,32,4
0,0.5284552845528455,0.8315433308891805,authorship,32,6
1,0.508130081300813,0.8220721855383148,authorship,32,6
2,0.5271002710027101,0.8232624856324476,authorship,32,6
3,0.4742547425474255,0.7986781158475511,authorship,32,6
4,0.49796472184531887,0.8127019385118238,authorship,32,6
0,0.5365853658536586,0.8331384823617759,authorship,32,8
1,0.5298102981029811,0.8361834502010161,authorship,32,8
2,0.516260162601626,0.8232855779936907,authorship,32,8
3,0.5040650406504065,0.8108566664697306,authorship,32,8
4,0.519674355495251,0.8295059799101709,authorship,32,8
0,0.532520325203252,0.8413391302086514,authorship,32,10
1,0.5474254742547425,0.8381144499770817,authorship,32,10
2,0.513550135501355,0.8314191617230525,authorship,32,10
3,0.5271002710027101,0.8293473497378258,authorship,32,10
4,0.5223880597014925,0.8338381529334249,authorship,32,10
0,0.6084010840108401,0.8858133047694491,authorship,32,12
1,0.6097560975609756,0.8825666405789391,authorship,32,12
2,0.559620596205962,0.8572633985950425,authorship,32,12
3,0.5840108401084011,0.8644351988121323,authorship,32,12
4,0.5603799185888738,0.859435874538848,authorship,32,12
0,0.5460704607046071,0.8494238503027429,authorship,32,14
1,0.532520325203252,0.841303375628949,authorship,32,14
2,0.55420054200542,0.8519887986944967,authorship,32,14
3,0.5528455284552846,0.8416527923065591,authorship,32,14
4,0.5481682496607869,0.8438160015853012,authorship,32,14
0,0.5623306233062331,0.8628791686598895,authorship,32,16
1,0.5840108401084011,0.8660256809843981,authorship,32,16
2,0.5989159891598916,0.8725537595990392,authorship,32,16
3,0.575880758807588,0.866398168377369,authorship,32,16
4,0.5915875169606513,0.8604231599207159,authorship,32,16
0,0.6395663956639567,0.9008564256855706,authorship,32,18
1,0.6002710027100271,0.8839671644312581,authorship,32,18
2,0.6084010840108401,0.8795966419653632,authorship,32,18
3,0.6056910569105691,0.8835658776541215,authorship,32,18
4,0.6173677069199457,0.8879602823175926,authorship,32,18
0,0.5813008130081301,0.872243658879752,authorship,32,20
1,0.5826558265582655,0.8754831310104692,authorship,32,20
2,0.5785907859078591,0.8640108112483773,authorship,32,20
3,0.5880758807588076,0.8638100707281858,authorship,32,20
4,0.5563093622795116,0.8664155746216754,authorship,32,20
0,0.6531165311653117,0.8987955521141552,authorship,32,22
1,0.6260162601626016,0.8993773585063575,authorship,32,22
2,0.6395663956639567,0.9066083571325143,authorship,32,22
3,0.6287262872628726,0.8917823120740126,authorship,32,22
4,0.6146540027137042,0.886497763267022,authorship,32,22
0,0.6165311653116531,0.8888660917671988,authorship,32,24
1,0.5989159891598916,0.8814437705177072,authorship,32,24
2,0.6233062330623306,0.8949181481060068,authorship,32,24
3,0.6260162601626016,0.8947133626896766,authorship,32,24
4,0.621438263229308,0.8839024312851669,authorship,32,24
0,0.6070460704607046,0.87855346010169,authorship,32,26
1,0.6233062330623306,0.8938883776206029,authorship,32,26
2,0.6355013550135501,0.8906454823123477,authorship,32,26
3,0.6368563685636857,0.8988092972265471,authorship,32,26
4,0.6255088195386703,0.8864137524786229,authorship,32,26
0,0.6314363143631436,0.8932257069496302,authorship,32,28
1,0.6395663956639567,0.8998948328945865,authorship,32,28
2,0.6287262872628726,0.8876182793538911,authorship,32,28
3,0.6327913279132791,0.8915910888993502,authorship,32,28
4,0.6404341926729986,0.9014420394630209,authorship,32,28
0,0.2140921409214092,0.5782562745114793,authorship,64,0
1,0.1842818428184282,0.5713136910685418,authorship,64,0
2,0.2032520325203252,0.5684817666167616,authorship,64,0
3,0.2222222222222222,0.5731496660334473,authorship,64,0
4,0.2157394843962008,0.5805638151243447,authorship,64,0
0,0.3712737127371274,0.7236906097267485,authorship,64,2
1,0.34552845528455284,0.7150638225295325,authorship,64,2
2,0.3617886178861789,0.7038800704399489,authorship,64,2
3,0.32926829268292684,0.7002781940156583,authorship,64,2
4,0.3622795115332429,0.7075892656029298,authorship,64,2
0,0.44037940379403795,0.7886221176841912,authorship,64,4
1,0.45257452574525747,0.7842164342636592,authorship,64,4
2,0.45663956639566394,0.7864762893867108,authorship,64,4
3,0.4254742547425474,0.7774118250651292,authorship,64,4
4,0.4559023066485753,0.7887410154979142,authorship,64,4
0,0.573170731707317,0.8586836999890244,authorship,64,6
1,0.5528455284552846,0.8529180383447754,authorship,64,6
2,0.5772357723577236,0.8572148386834845,authorship,64,6
3,0.5528455284552846,0.8361682743040496,authorship,64,6
4,0.508819538670285,0.8231321902144019,authorship,64,6
0,0.5948509485094851,0.8691491525404821,authorship,64,8
1,0.5799457994579946,0.8617324274014276,authorship,64,8
2,0.5636856368563685,0.8541074050723523,authorship,64,8
3,0.5447154471544715,0.836032765228027,authorship,64,8
4,0.5563093622795116,0.8522892558255835,authorship,64,8
0,0.575880758807588,0.8697459696518012,authorship,64,10
1,0.5447154471544715,0.8492731129035773,authorship,64,10
2,0.5487804878048781,0.8560383579816567,authorship,64,10
3,0.5365853658536586,0.8525117197288139,authorship,64,10
4,0.5332428765264586,0.8374657169583113,authorship,64,10
0,0.6138211382113821,0.8953525107776709,authorship,64,12
1,0.6476964769647696,0.9037217892436121,authorship,64,12
2,0.6002710027100271,0.8852074899221078,authorship,64,12
3,0.6056910569105691,0.8873707121457651,authorship,64,12
4,0.5943012211668928,0.8762868488206882,authorship,64,12
0,0.5718157181571816,0.8618641888292348,authorship,64,14
1,0.5880758807588076,0.8772224625147089,authorship,64,14
2,0.559620596205962,0.859984575119582,authorship,64,14
3,0.5298102981029811,0.8560755235800741,authorship,64,14
4,0.5712347354138398,0.8561098340338601,authorship,64,14
0,0.6043360433604336,0.8758658119543278,authorship,64,16
1,0.5962059620596206,0.8795716334090607,authorship,64,16
2,0.5853658536585366,0.8781777335687012,authorship,64,16
3,0.592140921409214,0.8785892627404345,authorship,64,16
4,0.5888738127544098,0.8645684174076133,authorship,64,16
0,0.6666666666666666,0.9193955762660467,authorship,64,18
1,0.6761517615176151,0.9156393103500041,authorship,64,18
2,0.6639566395663956,0.9082023852342453,authorship,64,18
3,0.6788617886178862,0.9176948170586904,authorship,64,18
4,0.6797829036635007,0.9108355284656255,authorship,64,18
0,0.6395663956639567,0.8935054738501244,authorship,64,20
1,0.6233062330623306,0.9026757714549485,authorship,64,20
2,0.6124661246612466,0.8912525854747495,authorship,64,20
3,0.5975609756097561,0.8760832613580559,authorship,64,20
4,0.6105834464043419,0.8834936409510347,authorship,64,20
0,0.6856368563685636,0.9169928279101525,authorship,64,22
1,0.6761517615176151,0.9215954905269699,authorship,64,22
2,0.6924119241192412,0.9248946841744008,authorship,64,22
3,0.6869918699186992,0.9215051080769455,authorship,64,22
4,0.6852103120759837,0.9179723688460022,authorship,64,22
0,0.6653116531165312,0.9114288521274796,authorship,64,24
1,0.6815718157181572,0.9087507689300811,authorship,64,24
2,0.6937669376693767,0.9197099916437441,authorship,64,24
3,0.6707317073170732,0.913670389152059,authorship,64,24
4,0.6635006784260515,0.9020087600157617,authorship,64,24
0,0.6747967479674797,0.9104982301041561,authorship,64,26
1,0.6910569105691057,0.9206347726645073,authorship,64,26
2,0.6571815718157181,0.917157133799657,authorship,64,26
3,0.6856368563685636,0.9249985160606367,authorship,64,26
4,0.6811397557666214,0.9148815341435576,authorship,64,26
0,0.6775067750677507,0.9164724616626803,authorship,64,28
1,0.7127371273712737,0.936510913583515,authorship,64,28
2,0.7059620596205962,0.9254013455268514,authorship,64,28
3,0.6707317073170732,0.9115691966589324,authorship,64,28
4,0.7150610583446404,0.9190162192234175,authorship,64,28
0,0.1951219512195122,0.5466247134525795,authorship,128,0
1,0.2046070460704607,0.5671345353718146,authorship,128,0
2,0.18157181571815717,0.5569516886940622,authorship,128,0
