fold,acc,auroc,mode,N,layer
0,0.7321428571428571,0.7600446428571429,register,32,0
1,0.7410714285714286,0.7724808673469388,register,32,0
2,0.5803571428571429,0.6489158163265306,register,32,0
3,0.6696428571428571,0.7689732142857143,register,32,0
4,0.6964285714285714,0.7496811224489797,register,32,0
0,0.9642857142857143,0.9977678571428572,register,32,2
1,0.9910714285714286,0.9984056122448979,register,32,2
2,0.9821428571428571,0.9990433673469388,register,32,2
3,0.9732142857142857,0.9961734693877551,register,32,2
4,0.9910714285714286,1.0,register,32,2
0,0.9910714285714286,1.0,register,32,4
1,0.9642857142857143,0.9910714285714286,register,32,4
2,0.9732142857142857,0.9948979591836735,register,32,4
3,0.9821428571428571,0.9945790816326532,register,32,4
4,0.9910714285714286,0.9993622448979592,register,32,4
0,0.9821428571428571,1.0,register,32,6
1,0.9642857142857143,0.9936224489795918,register,32,6
2,0.9553571428571429,0.9952168367346939,register,32,6
3,0.9821428571428571,0.9939413265306123,register,32,6
4,0.9732142857142857,0.998405612244898,register,32,6
0,0.9910714285714286,1.0,register,32,8
1,0.9732142857142857,0.9958545918367347,register,32,8
2,0.9642857142857143,0.9945790816326531,register,32,8
3,0.9464285714285714,0.994579081632653,register,32,8
4,0.9464285714285714,0.992984693877551,register,32,8
0,0.9821428571428571,0.9990433673469388,register,32,10
1,0.9642857142857143,0.9910714285714286,register,32,10
2,0.9642857142857143,0.9894770408163265,register,32,10
3,0.9642857142857143,0.9952168367346939,register,32,10
4,0.9464285714285714,0.9888392857142858,register,32,10
0,0.9821428571428571,0.9996811224489796,register,32,12
1,0.9910714285714286,1.0,register,32,12
2,0.9910714285714286,0.9984056122448979,register,32,12
3,0.9553571428571429,0.9974489795918368,register,32,12
4,0.9464285714285714,0.9955357142857143,register,32,12
0,0.9821428571428571,0.9996811224489796,register,32,14
1,0.9553571428571429,0.9977678571428571,register,32,14
2,0.9910714285714286,0.9987244897959184,register,32,14
3,0.9553571428571429,0.9980867346938775,register,32,14
4,0.9642857142857143,0.9952168367346939,register,32,14
0,0.9910714285714286,0.9993622448979592,register,32,16
1,0.9821428571428571,0.9987244897959184,register,32,16
2,1.0,1.0,register,32,16
3,0.9821428571428571,1.0,register,32,16
4,0.9732142857142857,0.9980867346938775,register,32,16
0,1.0,1.0,register,32,18
1,1.0,1.0,register,32,18
2,0.9910714285714286,0.9996811224489796,register,32,18
3,1.0,1.0,register,32,18
4,0.9910714285714286,1.0,register,32,18
0,1.0,1.0,register,32,20
1,1.0,1.0,register,32,20
2,0.9821428571428571,0.9987244897959184,register,32,20
3,1.0,1.0,register,32,20
4,0.9821428571428571,0.9990433673469388,register,32,20
0,0.9910714285714286,1.0,register,32,22
1,0.9910714285714286,1.0,register,32,22
2,0.9732142857142857,0.9987244897959184,register,32,22
3,0.9821428571428571,1.0,register,32,22
4,0.9642857142857143,0.9977678571428572,register,32,22
0,0.9910714285714286,1.0,register,32,24
1,0.9732142857142857,0.9993622448979592,register,32,24
2,0.9732142857142857,0.9974489795918366,register,32,24
3,0.9821428571428571,0.9996811224489796,register,32,24
4,0.9642857142857143,0.9974489795918368,register,32,24
0,0.9821428571428571,1.0,register,32,26
1,0.9910714285714286,1.0,register,32,26
2,0.9910714285714286,0.9993622448979591,register,32,26
3,0.9910714285714286,0.9996811224489796,register,32,26
4,0.9553571428571429,0.9971301020408163,register,32,26
0,0.9821428571428571,1.0,register,32,28
1,0.9910714285714286,1.0,register,32,28
2,1.0,1.0,register,32,28
3,0.9910714285714286,1.0,register,32,28
4,0.9553571428571429,0.9971301020408163,register,32,28
0,0.5535714285714286,0.5703125,register,64,0
1,0.5535714285714286,0.6245216836734694,register,64,0
2,0.6607142857142857,0.7126913265306123,register,64,0
3,0.6160714285714286,0.6879783163265306,register,64,0
4,0.5625,0.6616709183673469,register,64,0
0,0.9642857142857143,0.996811224489796,register,64,2
1,0.9375,0.9882015306122449,register,64,2
2,0.9821428571428571,0.9987244897959184,register,64,2
3,0.9821428571428571,0.9996811224489796,register,64,2
4,0.9910714285714286,0.9990433673469388,register,64,2
0,0.9553571428571429,0.9952168367346939,register,64,4
1,0.9553571428571429,0.9945790816326531,register,64,4
