fold,acc,auroc,mode,N,layer
0,0.4791666666666667,0.474375,typo,32,0
1,0.5,0.5008333333333334,typo,32,0
2,0.5125,0.5380902777777778,typo,32,0
3,0.44583333333333336,0.43423611111111116,typo,32,0
4,0.5208333333333334,0.5383333333333332,typo,32,0
0,0.5125,0.5466666666666666,typo,32,2
1,0.5458333333333333,0.5755555555555556,typo,32,2
2,0.525,0.5513888888888888,typo,32,2
3,0.5083333333333333,0.49486111111111103,typo,32,2
4,0.49583333333333335,0.5050694444444445,typo,32,2
0,0.5041666666666667,0.4961805555555555,typo,32,4
1,0.5458333333333333,0.5682638888888889,typo,32,4
2,0.5583333333333333,0.5449305555555555,typo,32,4
3,0.49583333333333335,0.5009722222222223,typo,32,4
4,0.4791666666666667,0.5091666666666668,typo,32,4
0,0.4791666666666667,0.45895833333333336,typo,32,6
1,0.5375,0.5431944444444444,typo,32,6
2,0.55,0.5674305555555554,typo,32,6
3,0.5166666666666667,0.5184722222222222,typo,32,6
4,0.45,0.4784722222222222,typo,32,6
0,0.5041666666666667,0.49965277777777767,typo,32,8
1,0.5333333333333333,0.5197222222222222,typo,32,8
2,0.5291666666666667,0.5388194444444445,typo,32,8
3,0.5125,0.5227083333333333,typo,32,8
4,0.5291666666666667,0.527638888888889,typo,32,8
0,0.475,0.4915277777777778,typo,32,10
1,0.48333333333333334,0.4902777777777778,typo,32,10
2,0.5416666666666666,0.5107638888888889,typo,32,10
3,0.4625,0.4663194444444444,typo,32,10
4,0.5083333333333333,0.49590277777777775,typo,32,10
0,0.475,0.5002777777777778,typo,32,12
1,0.5416666666666666,0.5355555555555556,typo,32,12
2,0.49583333333333335,0.5313194444444443,typo,32,12
3,0.4791666666666667,0.4597916666666666,typo,32,12
4,0.4625,0.5013888888888889,typo,32,12
0,0.525,0.5213194444444444,typo,32,14
1,0.5,0.508888888888889,typo,32,14
2,0.5083333333333333,0.5522222222222222,typo,32,14
3,0.49583333333333335,0.48784722222222215,typo,32,14
4,0.525,0.5447916666666667,typo,32,14
0,0.49166666666666664,0.48041666666666666,typo,32,16
1,0.4583333333333333,0.48569444444444443,typo,32,16
2,0.5166666666666667,0.52625,typo,32,16
3,0.49583333333333335,0.5169444444444444,typo,32,16
4,0.5333333333333333,0.5506944444444444,typo,32,16
0,0.49166666666666664,0.5005555555555555,typo,32,18
1,0.55,0.5652083333333335,typo,32,18
2,0.5333333333333333,0.5481944444444444,typo,32,18
3,0.525,0.5459027777777777,typo,32,18
4,0.5333333333333333,0.528611111111111,typo,32,18
0,0.5416666666666666,0.566111111111111,typo,32,20
1,0.55,0.5525694444444444,typo,32,20
2,0.5583333333333333,0.5945833333333332,typo,32,20
3,0.49583333333333335,0.4929861111111111,typo,32,20
4,0.5,0.5340972222222222,typo,32,20
0,0.49166666666666664,0.5111111111111111,typo,32,22
1,0.5416666666666666,0.5656249999999999,typo,32,22
2,0.5416666666666666,0.5368055555555555,typo,32,22
3,0.5,0.5464583333333333,typo,32,22
4,0.5583333333333333,0.5859027777777778,typo,32,22
0,0.475,0.4910416666666667,typo,32,24
1,0.5083333333333333,0.5445833333333333,typo,32,24
2,0.5541666666666667,0.5452083333333334,typo,32,24
3,0.5,0.5125694444444444,typo,32,24
4,0.5333333333333333,0.5246527777777777,typo,32,24
0,0.5541666666666667,0.5519444444444445,typo,32,26
1,0.5583333333333333,0.5726388888888889,typo,32,26
2,0.575,0.5975694444444444,typo,32,26
3,0.5,0.5311111111111111,typo,32,26
4,0.5708333333333333,0.5543750000000001,typo,32,26
0,0.5958333333333333,0.6245138888888888,typo,32,28
1,0.6041666666666666,0.6290972222222222,typo,32,28
2,0.6083333333333333,0.651875,typo,32,28
3,0.5541666666666667,0.5547916666666667,typo,32,28
4,0.5291666666666667,0.5843055555555554,typo,32,28
0,0.5,0.5264583333333333,typo,64,0
1,0.5,0.4803819444444445,typo,64,0
2,0.4875,0.5023958333333334,typo,64,0
3,0.49166666666666664,0.46923611111111113,typo,64,0
4,0.4875,0.4796527777777777,typo,64,0
0,0.5083333333333333,0.5241666666666667,typo,64,2
1,0.6083333333333333,0.6264583333333333,typo,64,2
2,0.5041666666666667,0.5259027777777778,typo,64,2
3,0.5083333333333333,0.5230555555555555,typo,64,2
4,0.49583333333333335,0.5044444444444445,typo,64,2
0,0.5208333333333334,0.5109722222222222,typo,64,4
1,0.5958333333333333,0.606111111111111,typo,64,4
2,0.5041666666666667,0.505625,typo,64,4
3,0.55,0.5472222222222223,typo,64,4
4,0.5666666666666667,0.5747916666666667,typo,64,4
0,0.5,0.46493055555555557,typo,64,6
1,0.525,0.5211805555555555,typo,64,6
2,0.45,0.45125,typo,64,6
3,0.5583333333333333,0.5442361111111111,typo,64,6
4,0.5291666666666667,0.5526388888888889,typo,64,6
0,0.49583333333333335,0.4868055555555556,typo,64,8
1,0.4875,0.5058333333333334,typo,64,8
2,0.44166666666666665,0.45368055555555553,typo,64,8
3,0.5291666666666667,0.5210416666666666,typo,64,8
4,0.55,0.571388888888889,typo,64,8
0,0.5375,0.5254166666666666,typo,64,10
1,0.5875,0.5922222222222221,typo,64,10
2,0.49166666666666664,0.49861111111111117,typo,64,10
3,0.5458333333333333,0.531875,typo,64,10
4,0.5208333333333334,0.5600694444444444,typo,64,10
0,0.5583333333333333,0.5506944444444445,typo,64,12
1,0.5375,0.5452777777777778,typo,64,12
2,0.475,0.44354166666666667,typo,64,12
3,0.5,0.5075694444444445,typo,64,12
4,0.5041666666666667,0.5316666666666667,typo,64,12
0,0.55,0.5729861111111111,typo,64,14
1,0.5291666666666667,0.580138888888889,typo,64,14
2,0.5083333333333333,0.4984722222222222,typo,64,14
3,0.49583333333333335,0.5163194444444446,typo,64,14
4,0.5541666666666667,0.5969444444444444,typo,64,14
0,0.5208333333333334,0.5259722222222223,typo,64,16
1,0.5458333333333333,0.5765972222222222,typo,64,16
2,0.5166666666666667,0.5116666666666667,typo,64,16
3,0.5375,0.5236111111111111,typo,64,16
4,0.5416666666666666,0.5467361111111111,typo,64,16
0,0.5541666666666667,0.5729861111111111,typo,64,18
1,0.575,0.5917361111111111,typo,64,18
2,0.5708333333333333,0.5679166666666666,typo,64,18
3,0.5166666666666667,0.5677083333333334,typo,64,18
4,0.6416666666666667,0.6388888888888888,typo,64,18
0,0.5583333333333333,0.5590277777777779,typo,64,20
1,0.5458333333333333,0.584375,typo,64,20
2,0.5583333333333333,0.5909722222222221,typo,64,20
3,0.6291666666666667,0.6244444444444445,typo,64,20
4,0.5916666666666667,0.6264583333333333,typo,64,20
0,0.5583333333333333,0.5630555555555556,typo,64,22
1,0.5041666666666667,0.5322222222222223,typo,64,22
2,0.5666666666666667,0.5909722222222222,typo,64,22
3,0.5541666666666667,0.584861111111111,typo,64,22
4,0.5666666666666667,0.5907638888888889,typo,64,22
0,0.575,0.5630555555555554,typo,64,24
1,0.5375,0.5573611111111111,typo,64,24
2,0.5583333333333333,0.5907638888888889,typo,64,24
3,0.5416666666666666,0.5544444444444444,typo,64,24
4,0.5125,0.5513194444444445,typo,64,24
0,0.5666666666666667,0.6102777777777778,typo,64,26
1,0.6,0.640277777777778,typo,64,26
2,0.5875,0.6533333333333334,typo,64,26
3,0.6041666666666666,0.6284027777777778,typo,64,26
4,0.6291666666666667,0.6455555555555557,typo,64,26
0,0.6875,0.7445833333333333,typo,64,28
1,0.6583333333333333,0.7422222222222221,typo,64,28
2,0.6958333333333333,0.7797222222222222,typo,64,28
3,0.6416666666666667,0.6985416666666666,typo,64,28
4,0.6791666666666667,0.7335416666666666,typo,64,28
0,0.5166666666666667,0.5279513888888889,typo,128,0
1,0.5125,0.5255208333333333,typo,128,0
2,0.5333333333333333,0.5344097222222223,typo,128,0
